DATE,Brussels,Flanders,Wallonia,(empty),Total Result,Brussels,Flanders,Wallonia,Empty
2020-03-01,6,8,2,,16,6,8,2,0
2020-03-02,4,12,1,,17,10,20,3,0
2020-03-03,2,21,13,,36,12,41,16,0
2020-03-04,5,31,13,6,55,17,72,29,6
2020-03-05,2,59,20,,81,19,131,49,6
2020-03-06,9,74,23,1,107,28,205,72,7
2020-03-07,5,16,6,,27,33,221,78,7
2020-03-08,7,37,19,1,64,40,258,97,8
2020-03-09,12,37,42,3,94,52,295,139,11
2020-03-10,13,57,22,7,99,65,352,161,18
2020-03-11,17,106,46,1,170,82,458,207,19
2020-03-12,37,136,69,5,247,119,594,276,24
2020-03-13,39,166,113,19,337,158,760,389,43
2020-03-14,30,74,66,7,177,188,834,455,50
2020-03-15,27,125,53,10,215,215,959,508,60
2020-03-16,61,204,115,8,388,276,1163,623,68
2020-03-17,24,257,127,10,418,300,1420,750,78
2020-03-18,58,288,185,5,536,358,1708,935,83
2020-03-19,55,383,246,32,716,413,2091,1181,115
2020-03-20,70,393,189,11,663,483,2484,1370,126
2020-03-21,44,248,164,14,470,527,2732,1534,140
2020-03-22,65,235,176,13,489,592,2967,1710,153
2020-03-23,116,808,394,12,1330,708,3775,2104,165
2020-03-24,122,686,378,8,1194,830,4461,2482,173
2020-03-25,142,716,325,12,1195,972,5177,2807,185
2020-03-26,149,821,375,16,1361,1121,5998,3182,201
2020-03-27,186,937,371,25,1519,1307,6935,3553,226
2020-03-28,147,479,206,13,845,1454,7414,3759,239
2020-03-29,93,364,213,13,683,1547,7778,3972,252
2020-03-30,138,1033,533,27,1731,1685,8811,4505,279
2020-03-31,178,876,581,18,1653,1863,9687,5086,297
2020-04-01,145,842,481,23,1491,2008,10529,5567,320
2020-04-02,154,802,460,13,1429,2162,11331,6027,333
2020-04-03,167,948,513,19,1647,2329,12279,6540,352
2020-04-04,102,542,252,16,912,2431,12821,6792,368
2020-04-05,81,321,202,9,613,2512,13142,6994,377
2020-04-06,164,1110,481,14,1769,2676,14252,7475,391
2020-04-07,114,780,366,8,1268,2790,15032,7841,399
